"clientid","income","age","loan","default10yr"
10,25075.87277,39.77637806,1409.230371,0
16,50501.72669,28.21836132,3977.287432,0
18,43378.17519,60.84831794,3277.737553,0
21,23000.784,31.76135417,1148.118057,0
29,59417.80541,30.8582675,2082.625938,0
34,58886.85129,38.66150424,7271.552032,0
36,26289.97231,20.66677873,341.146966,0
39,60921.0631,18.84052576,968.8363827,0
40,26578.53669,32.67604425,3489.843136,1
41,66260.12156,32.89669307,7035.589107,0
42,58787.45524,62.64130285,4167.786724,0
43,62545.70871,49.04043324,4362.905812,0
44,24381.95345,25.25233071,4227.018986,1
50,68427.16311,46.30824019,1658.070233,0
54,51656.93867,47.7150637,7158.13906,0
55,24912.84268,49.3663712,267.6962986,0
67,37521.01717,60.54107743,8.012076247,0
68,30735.8085,22.24209774,5946.822297,1
70,33180.20159,49.56597728,4621.997742,0
71,66628.26009,52.38387344,5992.885092,0
77,40775.8116,60.28875683,1922.610022,0
79,38789.02939,61.22928543,7650.65521,0
80,58074.84013,50.07492427,7388.02444,0
81,57814.10634,43.8309231,7252.120004,0
82,45190.72918,53.83952,7893.559889,0
83,36801.90718,43.02794342,5406.344926,0
88,27612.9148,19.21244819,1513.6242,0
92,30673.8375,59.33383708,383.1075694,0
96,50360.67879,28.83954247,4217.166823,0
97,41970.72448,63.16991394,1622.317392,0
98,51663.41018,63.73571024,4147.888585,0
110,28255.65251,35.51401737,2109.242798,0
117,63161.09204,59.67511498,804.0924415,0
124,21603.3057,21.37503332,178.333871,0
128,26458.3832,59.52298674,552.3981664,0
136,59132.68516,48.34499296,4575.527635,0
137,55305.57483,53.58227987,8176.707165,0
142,24865.79807,37.30975294,4439.116154,0
145,28982.05815,39.04840987,2898.761824,0
147,33551.12437,58.85692749,4333.360862,0
151,69579.92921,57.75624316,10868.24147,0
152,52743.30857,44.04851651,2684.700671,0
153,65635.66153,51.16771448,12701.60348,0
161,27947.44028,58.34845518,5514.117421,0
167,31046.37897,29.29739875,4907.674084,1
168,44708.09987,21.10877357,2390.850597,0
172,60477.23385,60.40210646,10711.7009,0
188,35032.6496,56.72462562,135.9316845,0
197,52908.82424,53.69563592,9841.080553,0
201,54619.9472,52.42442217,10780.27188,0
207,66356.85674,61.52484883,10725.48473,0
208,56676.158,46.67896953,2278.554349,0
212,40141.60354,56.15141838,845.3663713,0
213,31659.72821,31.92815368,858.511388,0
218,65077.32203,50.97913471,11061.81189,0
221,68407.18551,60.93758158,597.9440655,0
222,43727.43934,55.19259935,1170.556334,0
223,45788.7471,41.26194623,5894.041317,0
227,62498.50725,31.9096908,3312.877622,0
228,26090.72588,48.07852007,4255.626392,0
233,65176.52978,48.96321098,2365.28749,0
235,59079.46505,58.6383316,10326.08977,0
244,28648.67675,18.39696983,1870.925253,0
254,25259.40163,39.73976626,4341.008082,0
257,67900.22653,43.51430384,7902.742965,0
259,51288.55469,29.92074847,6536.966363,1
263,34414.24034,54.5301724,617.5387522,0
264,37633.08743,29.42141257,868.1624733,0
271,52094.21837,40.84450776,495.0211992,0
276,62288.53961,25.60217264,10657.10612,1
281,27574.63418,57.64370906,1017.39616,0
285,56326.08667,40.40545522,4816.776074,0
286,65670.88344,50.00469847,3950.870172,0
287,50730.73339,41.97006679,1879.059662,0
295,36559.13503,19.71617609,3030.267241,0
296,57787.56566,22.64466921,6339.850844,0
298,51935.18063,21.49550533,5649.452468,0
303,21533.59551,57.90168346,1971.55422,0
310,33388.58334,62.00167495,4551.876889,0
313,51455.09845,37.2856837,9447.117157,0
318,55858.54924,25.86653378,5630.444972,0
319,43777.51848,20.0109277,3601.299685,0
321,36132.42388,34.29426042,99.4495914,0
322,20145.9886,21.28278372,839.8390632,0
323,63108.70739,43.19394153,5757.848995,0
324,26581.61453,61.95337375,5090.392774,0
329,36242.44796,39.41547079,5688.994849,0
336,61742.23995,44.87260781,8068.319704,0
339,64644.3481,58.84065675,9848.171449,0
351,68744.78865,60.73005586,5207.883117,0
352,21081.19418,52.38283326,2395.16535,0
355,32312.85338,28.15532047,228.3308036,0
356,60778.76502,43.01302298,10021.04922,0
357,30948.04155,42.7513536,3995.807295,0
359,43321.68112,32.28625435,743.867141,0
362,66091.90591,24.2041407,8743.509701,1
363,47316.70138,27.06419772,1940.674044,0
369,42843.09913,28.63178613,839.869024,0
375,54472.14476,59.245985,10836.38309,0
378,46328.17192,56.84083064,7879.676208,0
382,27646.78005,56.31166878,3132.148692,0
395,55994.45879,31.1392572,680.6196961,0
396,67369.33212,57.63423984,2299.418172,0
405,62553.66841,63.92497558,4641.704785,0
408,65330.19284,28.58998731,4030.803692,0
409,26680.14584,47.76173998,1671.184924,0
415,56275.41002,30.24987142,2224.88416,0
417,64272.7,37.77801477,4929.878818,0
420,64940.24109,43.94104124,8196.930726,0
422,53422.21625,28.18853052,7441.759617,1
423,69995.68558,52.71967321,2084.370861,0
433,47846.9459,24.41835729,3713.262688,0
440,58580.95951,56.62695134,4317.715478,0
441,69445.64945,28.81827377,10643.40418,1
443,35496.6655,47.00274607,168.0547853,0
