clientid,loan
576,3206.927665
1576,6649.801459
818,6391.153194
1764,7765.252827
1878,3211.670281
91,7520.032053
1054,2830.179862
1779,2987.962123
1099,3702.171428
910,2257.064782
1905,7826.325909
902,288.6467693
1348,3664.621452
1138,2507.64971
205,1758.881865
1787,5753.895027
489,9698.582169
84,4211.302611
650,10816.75901
1891,10491.63215
1762,10382.43968
1372,2143.386972
1267,4548.110289
1966,5006.253823
1296,7149.066896
1400,2495.132991
1074,483.6201677
1173,4513.243712
571,4462.823258
290,3595.501942
1898,350.4455484
1777,5265.743252
1360,2155.812173
1565,1064.081875
49,1788.973736
939,6752.586071
1490,5650.889688
425,331.3643087
430,7005.079292
1894,967.1345882
1082,7660.346171
926,4076.87675
724,923.0284413
1581,3327.236235
654,8619.745177
517,11207.49523
306,8831.184365
309,6472.347007
863,1664.104927
453,8866.527185
387,3162.133837
1206,6127.381688
86,7708.315625
1252,622.9128105
628,4440.419617
730,8523.901116
1463,5797.292398
1637,6931.716435
503,5602.160022
1710,5273.559352
1976,5067.449964
1220,3917.876098
94,754.6018821
702,9921.672387
848,5296.940273
994,4155.723767
1238,3394.65824
1622,10306.70536
1095,9490.26419
758,5104.746789
959,5976.896568
104,10601.08278
461,2733.420559
701,459.0346888
349,724.1931885
1467,4752.557572
270,4805.971549
1415,7365.938916
963,481.8426971
1865,9733.113189
1391,2922.288685
524,6870.83901
821,10614.24849
1161,6272.78845
1067,1693.920179
1071,596.4811795
1625,3813.699268
1837,520.9960335
199,2751.088843
873,1522.646768
373,4947.308728
806,4923.814846
613,6145.131817
1627,3787.639141
642,3614.268185
379,7915.313443
1030,7822.936091
226,7531.101249
1596,7557.873338
849,1036.616804
1885,1098.073365
1813,758.4348491
1771,794.5568182
1100,7833.477761
1660,4203.50356
531,5850.770691
1745,5990.318608
627,6463.647751
998,2805.863745
1853,7314.976322
301,4145.003587
1302,4665.581021
1026,7933.469449
1116,357.0881242
1819,5183.859126
808,7482.067369
1086,329.4500422
1207,1598.183569
523,1857.461578
1489,2296.795327
1774,6045.089487
1010,3611.295903
116,2403.478216
407,2774.832781
831,6229.836019
1017,2672.692026
1999,1622.722598
1653,1190.630105
764,8859.087469
992,3051.574267
1419,3704.032126
1222,4948.48807
76,1765.983337
1484,2659.694541
471,749.1453684
1134,9642.092538
1816,8237.046829
157,1611.216597
953,1316.187128
315,1507.891341
101,7292.264177
1249,3203.615438
210,9290.575345
1949,1391.601802
231,7724.571414
1423,1347.331612
1904,2690.768134
1888,2855.2161
376,1826.516302
558,5142.110837
779,6800.246806
1387,842.5690773
268,2888.44471
608,5408.212129
592,1320.462443
969,2857.007414
1413,1452.493378
1096,10614.13095
1373,326.9895676
1402,5609.326602
725,1417.846522
687,7335.962568
225,2738.440496
629,1833.581051
1975,268.2909708
53,1745.871674
1351,13025.05657
706,2343.497556
1939,6562.903837
371,5353.561654
1881,8172.052504
216,6440.861434
391,607.9094842
978,11417.06009
922,5888.375781
1801,6194.07205
52,3344.384401
1985,2583.106425
622,4606.156805
1855,6976.463275
864,2727.241681
1063,1870.715089
202,6110.572792
1265,8352.061533
858,6924.901569
639,6917.508435
1614,2785.779563
1312,3103.812228
155,3157.961082
740,7908.331843
1980,922.0365897
1262,4448.412323
1907,5740.591698
1643,4370.793619
1654,8733.442215
32,2862.010139
383,2563.960873
175,5492.893689
1255,2574.707756
410,2342.472921
4,6103.64226
1921,5774.281958
1910,7877.330041
1835,8092.98278
1129,4605.918773
33,4221.303157
85,4514.00978
853,2062.719158
1862,6921.491029
237,6040.772062
60,5947.421721
245,3400.910744
895,2983.583322
883,1498.161255
1438,3639.900038
211,2627.405488
1399,1231.537368
775,4445.203178
964,10506.32803
1496,5617.178645
621,8569.220573
774,4876.366909
1963,4002.991276
1523,3009.39734
108,190.8892748
646,2963.794432
62,2044.047045
182,9589.833525
729,5277.74042
1066,8836.775689
185,10396.61815
1961,7813.23983
1681,6815.485141
746,4337.825559
518,4856.483454
1148,4951.915771
457,3900.829601
1630,6145.987757
890,3703.953047
712,1469.129704
986,3489.404122
1275,10462.74045
1522,8004.35984
1730,2319.362857
634,7571.682318
1007,3181.780519
1870,8052.381283
1750,1084.966942
1126,2224.068134
